User,text,Date
@socialmedia2day,Take your time - the conversation doesn't have to stop! We are so happy and honored to have you be part of our comm… https://t.co/zLJr3OOMu4,Tue Jul 06 17:04:09 +0000 2021
@socialmedia2day,@InnGritttt And it all goes so fast! -Jette #SMTLive,Tue Jul 06 17:03:05 +0000 2021
@socialmedia2day,@paulsenabulya Why Facebook? -Jette #SMTLive,Tue Jul 06 17:02:45 +0000 2021
@socialmedia2day,@thesodelight What an interesting journey! What was the moment of making that decision like for you? -Jette #SMTLive,Tue Jul 06 17:02:31 +0000 2021
@socialmedia2day,@Smita_DigiMarke @LatelyAIKately @aleyda @janetmachuka_ @mdeziel @getchipbot Great list! -Jette #SMTLive,Tue Jul 06 16:57:52 +0000 2021
@socialmedia2day,@paulsenabulya @MadalynSklar Love her! -Jette #SMTLive,Tue Jul 06 16:57:17 +0000 2021
@socialmedia2day,@carlarjenkins Combining skills and likes seems to be the trend for many! -Jette #SMTLive,Tue Jul 06 16:56:45 +0000 2021
@socialmedia2day,"@pavelStepanov77 @biteable Haha, definitely works on me as well 😂 -Jette #SMTLive",Tue Jul 06 16:55:52 +0000 2021
@socialmedia2day,Some great advice for portfolios! -Jette #SMTLive https://t.co/qAB9tF89h4,Tue Jul 06 16:55:22 +0000 2021
@socialmedia2day,"@Smita_DigiMarke @inkandcopy @Alexified This certainly helps! -Jette #SMTLive

https://t.co/mVPOHZG237",Tue Jul 06 16:54:48 +0000 2021
@socialmedia2day,Many of you mentioned following people who inspire you! Who are they? -Jette #SMTLive https://t.co/i251xtseF7,Tue Jul 06 16:53:24 +0000 2021
@socialmedia2day,"@mdehne34 As the intern, I love it. -Jette #SMTLive",Tue Jul 06 16:52:20 +0000 2021
@socialmedia2day,@pavelStepanov77 And there are ways to engage with them as they're on the go! -Jette #SMTLive,Tue Jul 06 16:51:53 +0000 2021
@socialmedia2day,24h is a loooong time! -Jette #SMTLive https://t.co/27pDZwHh2R,Tue Jul 06 16:51:24 +0000 2021
@socialmedia2day,@mdehne34 It's going to be interesting to see how it will play out. Do you think it can compete with others? -Jette… https://t.co/ISpYIDXJfH,Tue Jul 06 16:50:48 +0000 2021
@socialmedia2day,"@virtudeskcom Haha, all it takes is just one video to suck you in! -Jette #SMTLive",Tue Jul 06 16:49:07 +0000 2021
@socialmedia2day,@Kev__Berry What's currently on your FYP? -Jette #SMTLive,Tue Jul 06 16:48:09 +0000 2021
@socialmedia2day,@mcghawsmcs So true! -Jette #SMTLive,Tue Jul 06 16:47:49 +0000 2021
@socialmedia2day,"@inkandcopy I love them, but sometimes I just forget to tap on them! It's a neat way to keep seeing my favorite peo… https://t.co/9LmbyPkzGF",Tue Jul 06 16:46:40 +0000 2021
@socialmedia2day,@calmoverthinker Seems like Twitter is winning this popular vote! 🥇 -Jette #SMTLive,Tue Jul 06 16:44:40 +0000 2021
@socialmedia2day,"@Alexified Uhh, all day of Pinterest would hurt my wallet so bad 😂 -Jette #SMTLive",Tue Jul 06 16:43:03 +0000 2021
@socialmedia2day,"@inkandcopy And now with Spaces, you can even just switch up the format when you get tired of one! -Jette #SMTLive",Tue Jul 06 16:42:13 +0000 2021
@socialmedia2day,"@Smita_DigiMarke Smart choice - news, live conversations, AND entertainment! -Jette #SMTLive",Tue Jul 06 16:41:37 +0000 2021
@socialmedia2day,@pavelStepanov77 @biteable Our family will put compilations on TV and be glued to it for hours. Like funny pet vide… https://t.co/FyQe0UFmCT,Tue Jul 06 16:40:54 +0000 2021
@socialmedia2day,@StroteBook Do you have any portfolio tips for those still figuring out their next move? -Jette #SMTLive,Tue Jul 06 16:40:17 +0000 2021
@socialmedia2day,"@InnGritttt @JetteAnni That is so perfect, I can't 😂-Jette #SMTLive",Tue Jul 06 16:39:39 +0000 2021
@socialmedia2day,I'll probably be stuck in a YouTube or TikTok rabbit hole. My most recent one: pesto pasta creations.🤤-Jette… https://t.co/MjKZDt8eXe,Tue Jul 06 16:39:02 +0000 2021
@socialmedia2day,@Smita_DigiMarke https://t.co/TZcUAFZKyi,Tue Jul 06 16:37:36 +0000 2021
@socialmedia2day,@meetmute I hope something will make you laugh soon!😊-Jette #SMTLive,Tue Jul 06 16:36:51 +0000 2021
@socialmedia2day,@mcghawsmcs How cool is that! -Jette #SMTLive,Tue Jul 06 16:36:10 +0000 2021
@socialmedia2day,@meetmute I have some PR background as well. That balance between informed and entertained is a heavy skill! -Jette #SMTLive,Tue Jul 06 16:35:42 +0000 2021
@socialmedia2day,@mcghawsmcs That is so exciting! Do you feel ready? 🤩-Jette #SMTLive,Tue Jul 06 16:34:47 +0000 2021
@socialmedia2day,"@biteable Hahha, ain't that the truth! -Jette #SMTLive",Tue Jul 06 16:34:16 +0000 2021
@socialmedia2day,@virtudeskcom Perfect way to put it! -Jette #SMTLive,Tue Jul 06 16:33:58 +0000 2021
@socialmedia2day,"RT @virtudeskcom: @socialmedia2day We are doing it before for work but as we go on and continuously engage with other people, we now love w…",Tue Jul 06 16:33:49 +0000 2021
@socialmedia2day,Exciting doors can open anywhere you're at!-Jette #SMTLive https://t.co/rfz5TbKP7K,Tue Jul 06 16:33:38 +0000 2021
@socialmedia2day,@ShinyTheresa @InnGritttt @mdehne34 @pavelStepanov77 @inkandcopy @twohourdigital @DeniseNamale @Alexified… https://t.co/9XC6TOHB5u,Tue Jul 06 16:32:57 +0000 2021
@socialmedia2day,@InnGritttt @mdehne34 @pavelStepanov77 @inkandcopy @twohourdigital @DeniseNamale @Alexified @mirletaliz @allan05… https://t.co/kAsAcKJpaS,Tue Jul 06 16:31:54 +0000 2021
@socialmedia2day,@Kev__Berry Such a good combination to have! Understanding humans helps so much. -Jette #SMTLive,Tue Jul 06 16:31:35 +0000 2021
@socialmedia2day,@biteable Do you have a current favorite? -Jette #SMTLive,Tue Jul 06 16:30:34 +0000 2021
@socialmedia2day,"For me, it was the scene in Super Store of Myrtle's last day. ""This is Myrtle the turtle saying keep it groovy!"" -J… https://t.co/6ickJlcLGI",Tue Jul 06 16:29:25 +0000 2021
@socialmedia2day,@Smita_DigiMarke You've got this! -Jette #SMTLive https://t.co/TzU6CdVS6P,Tue Jul 06 16:27:03 +0000 2021
@socialmedia2day,"@Alexified What a fun journey! That's kind of how I felt - I can do tech, but I want more of the social side. -Jette #SMTLive",Tue Jul 06 16:26:17 +0000 2021
@socialmedia2day,@meetmute That is so exciting! Do you feel ready?😁 -Jette #SMTLive,Tue Jul 06 16:25:23 +0000 2021
@socialmedia2day,"@inkandcopy The cool projects always get us😅 I actually did a few years of humanitarian aid work, and then I wanted… https://t.co/f3uIiFwnn2",Tue Jul 06 16:24:39 +0000 2021
@socialmedia2day,@Smita_DigiMarke That is so cool! Your experience has definitely given you such a valuable and unique skillset. Tha… https://t.co/9V1buH1bVv,Tue Jul 06 16:22:42 +0000 2021
@socialmedia2day,@biteable @JetteAnni This is me in a nutshell. Approved by my fiancé. -Jette #SMTLive https://t.co/8CBWV06uJf,Tue Jul 06 16:20:40 +0000 2021
@socialmedia2day,"Facebook's competition with TikTok continues, but looks like TikTok is setting the pace.

https://t.co/27teLy0JLX",Tue Jul 06 16:20:03 +0000 2021
@socialmedia2day,@mdehne34 @aubreyrose2000 @LLSusa I love that you have a focus on local organizations! That has such an impact. -Jette #SMTLive,Tue Jul 06 16:19:52 +0000 2021
@socialmedia2day,"@Alexified That sounds perfect!!! Happy belated birthday, Alexis! 🥳 -Jette #SMTLive",Tue Jul 06 16:19:11 +0000 2021
@socialmedia2day,"I've heard so many stories on how people ""stumbled into"" their careers in social media and marketing. What's your s… https://t.co/e0YejrsTdN",Tue Jul 06 16:18:35 +0000 2021
@socialmedia2day,@Smita_DigiMarke @JetteAnni -Jette #SMTLive https://t.co/zfu4u0BoGP,Tue Jul 06 16:16:57 +0000 2021
@socialmedia2day,@inkandcopy How cool! Thanks for sharing! ☕️ -Jette #SMTLive,Tue Jul 06 16:15:46 +0000 2021
@socialmedia2day,@virtudeskcom @mdehne34 @pavelStepanov77 @inkandcopy @twohourdigital @InnGritttt @DeniseNamale @Alexified… https://t.co/H3aPuxjg1q,Tue Jul 06 16:15:13 +0000 2021
@socialmedia2day,"@Smita_DigiMarke @JetteAnni She's my ""spirit animal"" -Jette #SMTLive",Tue Jul 06 16:14:46 +0000 2021
@socialmedia2day,"RT @Alexified: @socialmedia2day With the help of my Twitter network, I just got a new Social Media Manager role with a great company! 🤟 Wis…",Tue Jul 06 16:14:01 +0000 2021
@socialmedia2day,@Alexified That is INCREDIBLE! Congratulations 😍🥳-Jette #SMTLive,Tue Jul 06 16:13:59 +0000 2021
@socialmedia2day,@mdehne34 Do you have one that's been on your heart a lot recently? -Jette #SMTLive,Tue Jul 06 16:13:33 +0000 2021
@socialmedia2day,Fun fact: It was my very first 4th of July! The fireworks were amazing and I had so much fun! What did everyone els… https://t.co/KtH9n7ISJA,Tue Jul 06 16:12:57 +0000 2021
@socialmedia2day,@Alexified @mdehne34 @pavelStepanov77 @inkandcopy @twohourdigital @InnGritttt @DeniseNamale @mirletaliz @allan05… https://t.co/3nRpdpS48S,Tue Jul 06 16:11:46 +0000 2021
@socialmedia2day,@mirletaliz @mdehne34 @pavelStepanov77 @inkandcopy @twohourdigital @InnGritttt @DeniseNamale @Alexified @allan05… https://t.co/rGygrsicf3,Tue Jul 06 16:11:23 +0000 2021
@socialmedia2day,@Smita_DigiMarke @JetteAnni I'm seeing fan clubs merging here! Welcome! -Jette #SMTLive,Tue Jul 06 16:10:42 +0000 2021
@socialmedia2day,@carlarjenkins Congratulations! That is so exciting! 🤩⭐️-Jette #SMTLive,Tue Jul 06 16:09:52 +0000 2021
@socialmedia2day,"@LauraSkitt_ @JetteAnni @nbcbrooklyn99 So happy you're here, Laura! #SMTLive",Tue Jul 06 16:08:52 +0000 2021
@socialmedia2day,@LauraSkitt_ @JetteAnni @nbcbrooklyn99 That is an excellent choice! -Jette #SMTLive https://t.co/yIqspsgn7O,Tue Jul 06 16:08:23 +0000 2021
@socialmedia2day,@mirletaliz @mdehne34 @pavelStepanov77 @inkandcopy @twohourdigital @InnGritttt @DeniseNamale @Alexified @allan05… https://t.co/bc6BYz0bD8,Tue Jul 06 16:07:39 +0000 2021
@socialmedia2day,We would love to hear what you have been up to and to cheer you on! Is it a newsletter? A great IG post? Link them… https://t.co/mNVApezSxo,Tue Jul 06 16:06:49 +0000 2021
