Date,User,IsVerified,Tweet,Likes,RT,User_location
2021-07-21 03:26:13,casual hex,False,“Police destroying…” oh no what is it oh fuck “Bitcoin mining rigs” oh thank god maybe not acab all the time. https://t.co/pIdkOzheF0,0,0,Utah (derogatory)
2021-07-21 03:26:04,Mercy,False,"@SteveHenson @latimessports For all those who are new to this working from home Bitcoin trading options 

Here's a… https://t.co/BJgs5esS3W",0,0,"London, England"
2021-07-21 03:26:03,ADNAN KHANNA,False,"This Event is happening today..
Big guys will talk here today about #Bitcoin 

We can expect some volatility in BTC… https://t.co/G71cZkrpfo",1,0,usa
2021-07-21 03:25:45,yy,False,@ashwsbreal Retweeted.. always interacting with u and supporting you @ashwsbreal .. been following u everyday like… https://t.co/nDh23qacyU,0,0,"Hà Nội, Việt Nam"
2021-07-21 03:25:43,Duan Ing Jun 0,False,"@airdropinspect This is a great project for the future with a strong team, transparent project roadmap, and a plan.… https://t.co/agEWQCt2FP",0,0,
2021-07-21 03:25:42,Mercy,False,"@CBSNews For all those who are new to this working from home Bitcoin trading options 

Here's a little tip:

Get a… https://t.co/eaVDwaXRce",0,0,"London, England"
2021-07-21 03:25:39,Halston Wright,False,@Troydan You smoking rocks and gambling your bitcoin again huh?,0,0,"North Las Vegas, NV"
2021-07-21 03:25:32,Bitcoin Info VIP,False,#Repost Will The B Word Conference Spark Next Bull Run? Elon &amp; Jack to debate Bitcoin Live https://t.co/5pCRByZPLb,0,0,"Nova Scotia, Canada"
2021-07-21 03:25:32,GeekinfoNow,False,Bitcoin price falls as EU vows to make cryptocurrency traceable - CNET https://t.co/G0fwUVsrAt,0,0,
2021-07-21 03:25:31,Ongpinkingpin Phd,False,@fullmetalhodl @thefatbitcoin2 @DannyDeafDavis @SEANSTACKN @shinohai2017 @martys_owl #bitcoin has the best CAGR in… https://t.co/WQnhNdrBlu,1,0,
2021-07-21 03:25:31,Whale Transactions,False,🚨🐋 THERE WAS A LARGE BITCOIN (500 BTC) TRANSACTION AT HASH 088cb5758fdb02950e0f1ab57301415521edde26b39278aac138b91c… https://t.co/GUwzSxyOBo,0,0,
2021-07-21 03:25:31,JAMESON,False,Bitcoin Origins Is Giving Away ONE 4MB Block! Are You In Yet?! https://t.co/ANOUGoPRp4 via @BitcoinOrigins,0,0,
2021-07-21 03:25:29,SwifToshi,False,green.... bitcoin what is the meaning of this?,0,0,
2021-07-21 03:25:29,Ms Nashville,False,"Amid Bitcoin’s crash, all of Tesla’s gains have vanished https://t.co/QcZgfcQt7Z",0,0,"Nashville, TN  USA"
2021-07-21 03:25:29,Mercy,False,"@guardiannews For all those who are new to this working from home Bitcoin trading options 

Here's a little tip:

G… https://t.co/Pj9USyMOzt",0,0,"London, England"
2021-07-21 03:25:27,Phungtran,False,"@teddy_zhu_ @AirdropStario @tuputupu_k @haepness @AhmadAz92460567 The next good  project
this is a good project goi… https://t.co/v7VYMvLChq",0,0,
2021-07-21 03:25:24,Ashley,False,"Everyone is panicking because $BTC is $29,000 and $ETH is $1,700. 
Don't worry about short-term price movements whe… https://t.co/50J5PJ560z",0,0,
2021-07-21 03:25:19,Woody,False,"Bitcoin price slides amid EU call to make transfers traceable, and rise of ‘stablecoins’ https://t.co/NidkE0cnK9… https://t.co/tsovKgeqDC",0,0,"Va Beach, Virginia"
2021-07-21 03:25:19,Investo,False,#LunaLand has already landed. And yes they had a great opening with respect to others but I expected little more hy… https://t.co/fdgMwEm6iD,0,2,
2021-07-21 03:25:16,SailorMad,False,"I found #bitcoin in a User vault at this location! Join me playing #coinhuntworld, It's awesome!… https://t.co/qHmfvkZLiW",0,0,
2021-07-21 03:25:15,Mike Hoffey,False,"These guys are taking on cryptocurrency doubters….
Welcome to the Church of Bitcoin https://t.co/B5ztUC8NdL via @RollingStone",0,0,Wildwood
2021-07-21 03:25:11,Trading den,False,@nebraskangooner Bitcoin accepted as legal tender in US and fed says they'll accumulate btc,0,0,
2021-07-21 03:25:05,Umair Akbar,False,"#bitcoin #cryptocurrency #blockchain #ethereum Like most of you reading this right now, I too associated blockchain… https://t.co/yflQDCqP5g",0,2,Cloud Engineer
2021-07-21 03:25:05,Amir,False,"@coinwind_com This is a great project.  Please all participate.  Wishing happiness to all team members
Teg :… https://t.co/fizzWZv1hg",0,0,
2021-07-21 03:25:03,Shawn Rubel,False,"Buckle up, the next #bitcoin news cycle is coming in hot 🔥

1. The “B” word conf - 07/21
2. Twitter earnings call -… https://t.co/7lKvZiWp4V",0,0,"Bowling Green, KY"
2021-07-21 03:25:03,laser llama🦙 🟩,False,Saying #bitcoin is volatile against fiat money is similar to saying the galaxy is spinning around a static earth.,0,0,
2021-07-21 03:25:02,Mark Ferks,False,@DineshDSouza @jack @Twitter she’s kinda right you have no control jack and of what you do it’s disgustingly one si… https://t.co/wrLPC4YdNQ,0,0,
2021-07-21 03:25:00,Tapan,False,"Someone - what do you think about it ?
Me - Maybe I'm crazy, but i still believe.
#Bitcoin #BTC https://t.co/J9FhWpLQzb",0,0,Northeast India
2021-07-21 03:24:55,CryptoStudio,False,@Forbes reports the New Jersey Bureau of Securities ordered @BlockFi to stop accepting new BIA clients residing in… https://t.co/75YvjSnRe7,0,0,"Berlin, Germany"
2021-07-21 03:24:50,Mercy,False,"@Forbes For all those who are new to this working from home Bitcoin trading options 

Here's a little tip:

Get a t… https://t.co/r1NuZhrzSz",0,0,"London, England"
2021-07-21 03:24:48,AustinBitcoinz,False,"An old friend called me today to say that he bought his first Bitcoin.  I tried to red pill him back in 2016, but h… https://t.co/TCu79jEoWb",0,0,"Austin, TX"
2021-07-21 03:24:45,webnow🌎,False,Payments giant Mastercard has announced that its crypto card program is being enhanced for cryptocurrency wallets a… https://t.co/Tj1OpTkKch,0,0,USA
2021-07-21 03:24:45,webnow🌎,False,Georgia is just one of many developing countries which would benefit from the adoption of Bitcoin....Read more: https://t.co/t1GEeMJ4Ut,0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"Bitcoin continues to see price dips as fear looms. Earlier in the month, Bitcoinist had reported that the crypto ma… https://t.co/dLeA4T2zYU",0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"While Bitcoin (BTC) continues to trade under pressure, institutions are back at buying the dips once again. On Mond… https://t.co/Dq2ing2wNM",0,0,USA
2021-07-21 03:24:45,webnow🌎,False,BTC-USD valuations are heading lower and moving in-line with our prior expectations.Several macroeconomics factors… https://t.co/4lBBODJRWr,0,0,USA
2021-07-21 03:24:45,webnow🌎,False,JPMorgan says a lot of its asset and wealth management clients think cryptocurrency is an asset class and they want… https://t.co/PrcoHUt80j,0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"Bitcoin price extended its decline below the $30,000 support against the US Dollar. BTC is finding bids near $29,25… https://t.co/AcWZ2btSuv",0,0,USA
2021-07-21 03:24:45,webnow🌎,False,U.S. Treasury Secretary Janet Yellen has asked the regulators overseeing crypto assets to &amp;#8220;act quickly to ens… https://t.co/iIDp4tixnY,0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"The relationship between traditional stocks, commodities, and Bitcoin has been fundamental in the past. For instanc… https://t.co/U23ukuPBQh",0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"Fear and anxiety around inflation dominated the market this month and with these looming fears, investors found the… https://t.co/4qXjRjj495",0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"The Wolf Of All Streets Podcast host, Scott Melker, called out attempts by the mainstream media to introduce a new… https://t.co/9TKJYDA1zp",0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"A selloff in Bitcoin accelerated yesterday, pushing it below $30,000 (25,500) for the first time in about a month.… https://t.co/nSLPTX3Bjn",0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"Skip to comments.
Bitcoin Erases 2021 Gains. Its the Ultimate Risky Asset Right Now.Barrons ^
 | July 20, 2021
 | B… https://t.co/1tXV8HV106",0,0,USA
2021-07-21 03:24:45,webnow🌎,False,"European regulator want banks to hold personal details of cryptocurrency clients, while US wants swift work to esta… https://t.co/BMtfHnWP8M",0,0,USA
